1q_gates,Hellinger_distance,Hellinger_fidelity,JSD,Renyi2_entropy,Shannon_entropy,TVD,abstract_2q_operations,algorithmic_success,algorithmic_success_margin_95,benchmark,bootstrap_uncertainty,compile_time_sec,compiler,depth,execution_index,final_native_2q_operations,gate_count,heavy_output_probability,logical_1q_gates,logical_abstract_2q_gates,logical_depth,logical_gate_count,min_entropy,native_2q_operations,one_qubit_depth,routing_induced_2q_overhead,scheduled_duration_dt,semantic_fidelity,status,total_2q_expansion,two_qubit_depth
18,0.320623,0.80497,0.113307,4.667701,4.839726,0.233677,20,,,QAOA_5_MAXCUT,"{'Hellinger_fidelity_std': 0.004071, 'TVD_std': 0.004594, 'JSD_std': 0.002541}",0.699267,TKET,157,70,32,38,"{'value': 0.661, 'status': 'VALID'}",10,7,8,17,3.631288,,10,13,,,COMPILED_UNVERIFIED,4.571429,27
100,0.319647,0.806091,0.143012,5.003288,5.482206,0.398886,28,,,QAOA_6_MAXCUT,"{'Hellinger_fidelity_std': 0.003911, 'TVD_std': 0.004583, 'JSD_std': 0.002955}",0.008774,SABRE_O3,73,71,28,128,"{'value': 0.6904, 'status': 'VALID'}",12,9,9,21,3.811979,,50,19,,,COMPILED_UNVERIFIED,3.111111,22
172,0.18267,0.934377,0.034387,2.79793,3.277915,0.076339,27,,,QAOA_4_MAXCUT,"{'Hellinger_fidelity_std': 0.002584, 'TVD_std': 0.003818, 'JSD_std': 0.001381}",0.055065,PROMETHEUS,119,72,27,199,"{'value': 0.8334, 'status': 'VALID'}",8,6,7,14,2.017417,,95,21,,,COMPILED_UNVERIFIED,4.5,26
119,0.095783,0.981735,0.013182,8.897416,8.947403,0.109775,33,,,CrossEnt_9,"{'Hellinger_fidelity_std': 0.001596, 'TVD_std': 0.003904, 'JSD_std': 0.001147}",0.007954,SABRE_O3,58,73,33,152,"{'value': 0, 'status': 'VALID'}",18,15,12,33,8.158429,,38,18,,,COMPILED_UNVERIFIED,2.2,20
174,0.161623,0.948439,0.037142,7.381976,7.685279,0.176142,50,,,QAOA_8_MAXCUT,"{'Hellinger_fidelity_std': 0.002334, 'TVD_std': 0.004479, 'JSD_std': 0.001684}",0.008092,SABRE_O3,111,74,50,224,"{'value': 0.6928, 'status': 'VALID'}",16,12,11,28,5.461164,,76,38,,,COMPILED_UNVERIFIED,4.166667,34
23,0.187903,0.930632,0.035709,1.200278,1.529674,0.0688,4,0.9312,0.004961,GHZ_5,"{'Hellinger_fidelity_std': 0.002389, 'TVD_std': 0.002393, 'JSD_std': 0.001261}",0.007838,SABRE_O3,16,75,4,27,"{'value': 0, 'status': 'VALID'}",1,4,6,5,1.033274,,11,0,,,COMPILED_UNVERIFIED,1.0,4
32,0.376774,0.736235,0.192533,3.167398,3.324142,0.44,8,,,CrossEnt_4,"{'Hellinger_fidelity_std': 0.004305, 'TVD_std': 0.002309, 'JSD_std': 0.003015}",0.007369,SABRE_O3,26,76,8,40,"{'value': 0, 'status': 'VALID'}",8,5,7,13,2.980512,,18,3,,,COMPILED_UNVERIFIED,1.6,7
74,0.195197,0.925248,0.039516,3.025437,3.413931,0.098179,15,,,QAOA_4_MAXCUT,"{'Hellinger_fidelity_std': 0.002738, 'TVD_std': 0.00456, 'JSD_std': 0.001475}",0.008848,SABRE_O3,45,77,15,89,"{'value': 0.8182, 'status': 'VALID'}",8,6,7,14,2.202904,,34,9,,,COMPILED_UNVERIFIED,2.5,10
38,0.215647,0.909156,0.04708,1.269292,1.785774,0.0904,7,0.9096,0.00562,GHZ_8,"{'Hellinger_fidelity_std': 0.002819, 'TVD_std': 0.002831, 'JSD_std': 0.001508}",0.008614,SABRE_O3,25,78,7,45,"{'value': 0, 'status': 'VALID'}",1,7,9,8,1.074304,,17,0,,,COMPILED_UNVERIFIED,1.0,7
1,0.18855,0.930161,0.035884,1.204293,1.502207,0.0696,3,0.9304,0.004988,GHZ_4,"{'Hellinger_fidelity_std': 0.002465, 'TVD_std': 0.002452, 'JSD_std': 0.001302}",0.466343,TKET,18,79,3,4,"{'value': 0, 'status': 'VALID'}",1,3,5,4,1.058593,,1,0,,,COMPILED_UNVERIFIED,1.0,3
67,0.083828,0.985995,0.010108,5.922825,5.959974,0.09445,18,,,CrossEnt_6,"{'Hellinger_fidelity_std': 0.001222, 'TVD_std': 0.004326, 'JSD_std': 0.000882}",0.007991,SABRE_O3,42,80,18,85,"{'value': 0, 'status': 'VALID'}",12,9,9,21,5.429731,,28,9,,,COMPILED_UNVERIFIED,2.0,14
334,0.28811,0.840875,0.115652,7.135038,7.519243,0.333062,95,,,QFT_8_NONTRIVIAL,"{'Hellinger_fidelity_std': 0.003948, 'TVD_std': 0.004595, 'JSD_std': 0.002815}",0.009195,SABRE_O3,194,81,95,429,"{'value': 0.4086, 'status': 'VALID'}",11,32,18,43,5.506353,,131,63,,,COMPILED_UNVERIFIED,2.96875,63
561,0.157842,0.950793,0.035446,9.741299,9.860289,0.175767,150,,,QFT_10_NONTRIVIAL,"{'Hellinger_fidelity_std': 0.002892, 'TVD_std': 0.003709, 'JSD_std': 0.001867}",0.010451,SABRE_O3,280,82,150,711,"{'value': 0.3711, 'status': 'VALID'}",13,50,22,63,8.643856,,198,100,,,COMPILED_UNVERIFIED,3.0,82
336,0.15341,0.953484,0.033309,6.16764,6.567536,0.153929,68,,,QAOA_7_MAXCUT,"{'Hellinger_fidelity_std': 0.002067, 'TVD_std': 0.004378, 'JSD_std': 0.001476}",0.05887,PROMETHEUS,189,83,68,404,"{'value': 0.7785, 'status': 'VALID'}",14,10,9,24,4.316169,,145,58,,,COMPILED_UNVERIFIED,6.8,50
27,0.203647,0.918775,0.057607,9.611942,9.777448,0.222305,28,,,CrossEnt_10,"{'Hellinger_fidelity_std': 0.003352, 'TVD_std': 0.003654, 'JSD_std': 0.002082}",0.940673,TKET,99,84,38,55,"{'value': 0, 'status': 'VALID'}",20,17,13,37,8.243318,,7,11,,,COMPILED_UNVERIFIED,2.235294,22
407,0.055108,0.993935,0.004374,4.967226,4.982846,0.0633,59,,,QFT_5_NONTRIVIAL,"{'Hellinger_fidelity_std': 0.000815, 'TVD_std': 0.004706, 'JSD_std': 0.000587}",0.868896,PROMETHEUS,269,85,59,466,"{'value': 0.1143, 'status': 'VALID'}",7,12,12,19,4.673003,,221,47,,,COMPILED_UNVERIFIED,4.916667,52
48,0.26795,0.86156,0.073121,1.418186,2.144524,0.1376,9,0.8624,0.006752,GHZ_10,"{'Hellinger_fidelity_std': 0.003659, 'TVD_std': 0.003631, 'JSD_std': 0.002043}",0.00809,SABRE_O3,31,86,9,57,"{'value': 0, 'status': 'VALID'}",1,9,11,10,1.126266,,21,0,,,COMPILED_UNVERIFIED,1.0,9
270,0.052555,0.994484,0.003981,3.9685,3.984094,0.0636,39,,,QFT_4_NONTRIVIAL,"{'Hellinger_fidelity_std': 0.000792, 'TVD_std': 0.005006, 'JSD_std': 0.000572}",1.237589,PROMETHEUS,191,87,39,309,"{'value': 0.1121, 'status': 'VALID'}",6,8,10,14,3.68966,,157,31,,,COMPILED_UNVERIFIED,4.875,39
122,0.064357,0.991734,0.005966,4.950297,4.975721,0.0768,22,,,CrossEnt_5,"{'Hellinger_fidelity_std': 0.000972, 'TVD_std': 0.004898, 'JSD_std': 0.000702}",1.586662,PROMETHEUS,66,88,22,144,"{'value': 0, 'status': 'VALID'}",10,7,8,17,4.420434,,47,15,,,COMPILED_UNVERIFIED,3.142857,20
17,0.109184,0.9763,0.011953,1.068778,1.190751,0.0237,2,0.9763,0.002981,GHZ_3,"{'Hellinger_fidelity_std': 0.001579, 'TVD_std': 0.001574, 'JSD_std': 0.000804}",2.00209,PROMETHEUS,14,89,2,19,"{'value': 0, 'status': 'VALID'}",1,2,4,3,1.034456,,11,0,,,COMPILED_UNVERIFIED,1.0,2
82,0.155925,0.951966,0.03467,8.738548,8.861689,0.179578,109,,,QFT_9_NONTRIVIAL,"{'Hellinger_fidelity_std': 0.002429, 'TVD_std': 0.004204, 'JSD_std': 0.001715}",1.621112,TKET,423,90,183,191,"{'value': 0.3447, 'status': 'VALID'}",12,40,20,52,7.532825,,31,69,,,COMPILED_UNVERIFIED,4.575,73
33,0.204419,0.918172,0.042334,1.238401,1.704986,0.0811,6,0.9189,0.005351,GHZ_7,"{'Hellinger_fidelity_std': 0.002659, 'TVD_std': 0.002643, 'JSD_std': 0.001419}",0.007421,SABRE_O3,22,91,6,39,"{'value': 0, 'status': 'VALID'}",1,6,8,7,1.043051,,15,0,,,COMPILED_UNVERIFIED,1.0,6
29,0.167574,0.944626,0.028272,1.162837,1.463637,0.0553,4,0.9447,0.00448,GHZ_5,"{'Hellinger_fidelity_std': 0.002389, 'TVD_std': 0.002382, 'JSD_std': 0.001246}",1.312081,PROMETHEUS,22,92,4,33,"{'value': 0, 'status': 'VALID'}",1,4,6,5,1.056791,,17,0,,,COMPILED_UNVERIFIED,1.0,4
1303,0.118418,0.972151,0.020052,7.857447,7.922222,0.132069,278,,,QFT_8_NONTRIVIAL,"{'Hellinger_fidelity_std': 0.001707, 'TVD_std': 0.003952, 'JSD_std': 0.001219}",3.514293,PROMETHEUS,893,93,278,1581,"{'value': 0.3271, 'status': 'VALID'}",11,32,18,43,7.137965,,666,246,,,COMPILED_UNVERIFIED,8.6875,244
37,0.073321,0.989277,0.00774,5.938995,5.969057,0.087425,45,,,QFT_6_NONTRIVIAL,"{'Hellinger_fidelity_std': 0.001095, 'TVD_std': 0.004721, 'JSD_std': 0.000791}",0.937747,TKET,248,94,75,82,"{'value': 0.4627, 'status': 'VALID'}",9,18,14,27,5.435963,,19,27,,,COMPILED_UNVERIFIED,4.166667,43
458,0.194607,0.92569,0.053683,7.403789,7.735767,0.222965,111,,,QAOA_8_MAXCUT,"{'Hellinger_fidelity_std': 0.002665, 'TVD_std': 0.00473, 'JSD_std': 0.001936}",0.061955,PROMETHEUS,312,95,111,569,"{'value': 0.6602, 'status': 'VALID'}",16,12,11,28,5.054093,,235,99,,,COMPILED_UNVERIFIED,9.25,83
