1q_gates,Hellinger_distance,Hellinger_fidelity,JSD,Renyi2_entropy,Shannon_entropy,TVD,abstract_2q_operations,algorithmic_success,algorithmic_success_margin_95,benchmark,bootstrap_uncertainty,compile_time_sec,compiler,depth,execution_index,final_native_2q_operations,gate_count,heavy_output_probability,logical_1q_gates,logical_abstract_2q_gates,logical_depth,logical_gate_count,min_entropy,native_2q_operations,one_qubit_depth,routing_induced_2q_overhead,scheduled_duration_dt,semantic_fidelity,status,total_2q_expansion,two_qubit_depth
10,0.054816,0.994,0.004329,2.311302,2.623265,0.058499,7,,,QAOA_3_MAXCUT,"{'Hellinger_fidelity_std': 0.000738, 'TVD_std': 0.004129, 'JSD_std': 0.000532}",0.573555,TKET,79,10,9,17,"{'value': 0.7177, 'status': 'VALID'}",6,3,6,9,1.701342,,6,4,,,COMPILED_UNVERIFIED,3.0,9
17,0.078554,0.987697,0.008886,3.929486,3.96435,0.0975,16,,,QFT_4_NONTRIVIAL,"{'Hellinger_fidelity_std': 0.001138, 'TVD_std': 0.004818, 'JSD_std': 0.000823}",0.71198,TKET,126,11,24,33,"{'value': 0.1357, 'status': 'VALID'}",6,8,10,14,3.470729,,11,8,,,COMPILED_UNVERIFIED,3.0,22
103,0.073586,0.989199,0.007793,7.938524,7.968849,0.083575,28,,,CrossEnt_8,"{'Hellinger_fidelity_std': 0.001134, 'TVD_std': 0.003697, 'JSD_std': 0.000817}",0.008117,SABRE_O3,46,12,28,131,"{'value': 0, 'status': 'VALID'}",16,13,11,29,7.287712,,32,15,,,COMPILED_UNVERIFIED,2.153846,15
54,0.031393,0.99803,0.001421,2.988788,2.994337,0.0356,6,,,CrossEnt_3,"{'Hellinger_fidelity_std': 0.000457, 'TVD_std': 0.004749, 'JSD_std': 0.00033}",0.860211,PROMETHEUS,29,13,6,60,"{'value': 0, 'status': 'VALID'}",6,3,6,9,2.803897,,25,3,,,COMPILED_UNVERIFIED,2.0,6
32,0.301275,0.826706,0.126724,7.616396,7.817766,0.357814,44,,,QAOA_8_MAXCUT,"{'Hellinger_fidelity_std': 0.0037, 'TVD_std': 0.004276, 'JSD_std': 0.002744}",0.824888,TKET,255,14,84,76,"{'value': 0.533, 'status': 'VALID'}",16,12,11,28,5.993092,,16,32,,,COMPILED_UNVERIFIED,7.0,54
167,0.083083,0.986242,0.009926,5.919187,5.959863,0.0925,46,,,QFT_6_NONTRIVIAL,"{'Hellinger_fidelity_std': 0.001163, 'TVD_std': 0.004329, 'JSD_std': 0.00084}",0.010856,SABRE_O3,111,15,46,213,"{'value': 0.5338, 'status': 'VALID'}",9,18,14,27,5.184425,,74,28,,,COMPILED_UNVERIFIED,2.555556,37
18,0.193449,0.926556,0.053104,6.657744,6.79709,0.228512,22,,,CrossEnt_7,"{'Hellinger_fidelity_std': 0.002615, 'TVD_std': 0.004169, 'JSD_std': 0.001879}",0.785638,TKET,99,16,26,40,"{'value': 0, 'status': 'VALID'}",14,11,10,25,5.904008,,6,11,,,COMPILED_UNVERIFIED,2.363636,18
33,0.040492,0.996724,0.002364,2.982345,2.990745,0.0465,9,,,QFT_3_NONTRIVIAL,"{'Hellinger_fidelity_std': 0.000588, 'TVD_std': 0.004067, 'JSD_std': 0.000424}",0.009041,SABRE_O3,33,17,9,42,"{'value': 0, 'status': 'VALID'}",4,4,8,8,2.845806,,23,5,,,COMPILED_UNVERIFIED,2.25,9
10,0.045661,0.995834,0.003006,2.976561,2.988055,0.0549,7,,,QFT_3_NONTRIVIAL,"{'Hellinger_fidelity_std': 0.000657, 'TVD_std': 0.004652, 'JSD_std': 0.000474}",0.567597,TKET,75,18,9,17,"{'value': 0, 'status': 'VALID'}",4,4,8,8,2.784881,,7,3,,,COMPILED_UNVERIFIED,2.25,9
109,0.051479,0.994707,0.003818,4.970771,4.984919,0.05955,31,,,QFT_5_NONTRIVIAL,"{'Hellinger_fidelity_std': 0.000785, 'TVD_std': 0.004706, 'JSD_std': 0.000566}",0.010735,SABRE_O3,86,19,31,140,"{'value': 0.1198, 'status': 'VALID'}",7,12,12,19,4.714065,,57,19,,,COMPILED_UNVERIFIED,2.583333,28
241,0.083976,0.985946,0.010142,6.920285,6.959454,0.095387,65,,,QFT_7_NONTRIVIAL,"{'Hellinger_fidelity_std': 0.001234, 'TVD_std': 0.004343, 'JSD_std': 0.00089}",0.007525,SABRE_O3,134,20,65,306,"{'value': 0.3738, 'status': 'VALID'}",10,24,16,34,6.333516,,87,41,,,COMPILED_UNVERIFIED,2.708333,47
2324,0.201752,0.920249,0.056839,9.591385,9.77544,0.22167,582,,,QFT_10_NONTRIVIAL,"{'Hellinger_fidelity_std': 0.003258, 'TVD_std': 0.003903, 'JSD_std': 0.002093}",3.617544,PROMETHEUS,1610,21,582,2906,"{'value': 0.2853, 'status': 'VALID'}",13,50,22,63,8.039785,,1144,532,,,COMPILED_UNVERIFIED,11.64,485
62,0.040347,0.996747,0.002347,3.981026,3.990564,0.0484,18,,,QFT_4_NONTRIVIAL,"{'Hellinger_fidelity_std': 0.000602, 'TVD_std': 0.004778, 'JSD_std': 0.000434}",0.011092,SABRE_O3,53,22,18,80,"{'value': 0.1338, 'status': 'VALID'}",6,8,10,14,3.717857,,34,10,,,COMPILED_UNVERIFIED,2.25,18
24,0.229931,0.897058,0.073615,8.535606,8.719293,0.258541,26,,,CrossEnt_9,"{'Hellinger_fidelity_std': 0.003792, 'TVD_std': 0.004387, 'JSD_std': 0.002465}",0.865426,TKET,108,23,36,50,"{'value': 0, 'status': 'VALID'}",18,15,12,33,7.532825,,7,11,,,COMPILED_UNVERIFIED,2.4,22
93,0.033085,0.997812,0.001579,2.214469,2.562666,0.040325,12,,,QAOA_3_MAXCUT,"{'Hellinger_fidelity_std': 0.0005, 'TVD_std': 0.005006, 'JSD_std': 0.00036}",0.056098,PROMETHEUS,76,24,12,105,"{'value': 0.7395, 'status': 'VALID'}",6,3,6,9,1.618827,,63,9,,,COMPILED_UNVERIFIED,4.0,12
39,0.285464,0.843662,0.11103,9.403212,9.691803,0.306641,48,,,QAOA_10_MAXCUT,"{'Hellinger_fidelity_std': 0.003969, 'TVD_std': 0.004544, 'JSD_std': 0.002805}",0.929207,TKET,163,25,84,87,"{'value': 0.6479, 'status': 'VALID'}",20,15,9,35,7.310432,,10,33,,,COMPILED_UNVERIFIED,5.6,33
27,0.274541,0.854936,0.10477,6.698845,6.856427,0.308824,32,,,QAOA_7_MAXCUT,"{'Hellinger_fidelity_std': 0.003358, 'TVD_std': 0.004537, 'JSD_std': 0.002468}",0.734373,TKET,156,26,56,59,"{'value': 0.6172, 'status': 'VALID'}",14,10,9,24,5.467533,,10,22,,,COMPILED_UNVERIFIED,5.6,37
223,0.222997,0.903018,0.068469,9.167875,9.582857,0.230743,64,,,QAOA_10_MAXCUT,"{'Hellinger_fidelity_std': 0.003133, 'TVD_std': 0.004073, 'JSD_std': 0.00216}",0.013528,SABRE_O3,90,27,64,287,"{'value': 0.7186, 'status': 'VALID'}",20,15,9,35,6.844769,,62,49,,,COMPILED_UNVERIFIED,4.266667,28
