Hellinger_fidelity,TVD,benchmark,compiler,depth,execution_index,logical_abstract_2q_gates,routing_induced_2q_overhead,routing_induced_swaps,semantic_fidelity,status
0.86171,0.284774,QAOA_9_INST_1,PROMETHEUS,347,48,17,170,0,,COMPILED_UNVERIFIED
0.730472,0.405471,CrossEnt_9_INST_4,TKET,429,49,72,102,72,,COMPILED_UNVERIFIED
0.931412,0.193231,QAOA_6_INST_3,TKET,117,50,6,10,4,,COMPILED_UNVERIFIED
0.607793,0.520693,CrossEnt_9_INST_1,TKET,429,51,72,102,72,,COMPILED_UNVERIFIED
0.913069,0.208911,QAOA_8_INST_1,PROMETHEUS,247,52,12,96,0,,COMPILED_UNVERIFIED
0.636682,0.49096,CrossEnt_8_INST_1,SABRE_O3,221,53,56,91,0,,COMPILED_UNVERIFIED
0.731838,0.422058,CrossEnt_9_INST_3,TKET,429,54,72,102,72,,COMPILED_UNVERIFIED
0.902777,0.228657,QAOA_8_INST_1,TKET,185,55,12,23,11,,COMPILED_UNVERIFIED
0.979869,0.102518,QAOA_6_INST_1,PROMETHEUS,101,56,6,18,0,,COMPILED_UNVERIFIED
0.844725,0.299684,CrossEnt_7_INST_3,PROMETHEUS,577,57,42,420,0,,COMPILED_UNVERIFIED
0.965711,0.141857,QAOA_6_INST_5,TKET,112,58,6,10,4,,COMPILED_UNVERIFIED
0.532663,0.554264,CrossEnt_9_INST_3,SABRE_O3,265,59,72,121,0,,COMPILED_UNVERIFIED
0.342728,0.67781,CrossEnt_9_INST_1,SABRE_O3,264,60,72,121,0,,COMPILED_UNVERIFIED
0.847306,0.309947,CrossEnt_8_INST_2,TKET,320,61,56,58,52,,COMPILED_UNVERIFIED
0.873185,0.267409,QAOA_9_INST_5,TKET,154,62,13,23,10,,COMPILED_UNVERIFIED
0.944321,0.188022,QAOA_7_INST_2,PROMETHEUS,138,63,7,37,0,,COMPILED_UNVERIFIED
0.883511,0.272026,CrossEnt_6_INST_4,TKET,229,64,30,30,27,,COMPILED_UNVERIFIED
0.723898,0.403242,QAOA_8_INST_4,SABRE_O3,87,65,13,32,0,,COMPILED_UNVERIFIED
0.885431,0.254938,CrossEnt_7_INST_1,TKET,279,66,42,44,38,,COMPILED_UNVERIFIED
0.97462,0.126484,QAOA_7_INST_5,PROMETHEUS,110,67,7,22,0,,COMPILED_UNVERIFIED
0.689617,0.468806,QAOA_8_INST_3,SABRE_O3,65,68,10,19,0,,COMPILED_UNVERIFIED
0.928983,0.20828,QAOA_7_INST_2,TKET,151,69,7,13,6,,COMPILED_UNVERIFIED
0.871363,0.27466,CrossEnt_8_INST_4,TKET,320,70,56,58,52,,COMPILED_UNVERIFIED
0.824543,0.319037,QAOA_9_INST_2,PROMETHEUS,367,71,15,180,0,,COMPILED_UNVERIFIED
0.586202,0.536542,CrossEnt_9_INST_2,PROMETHEUS,986,72,72,1092,0,,COMPILED_UNVERIFIED
0.49215,0.582137,CrossEnt_7_INST_2,SABRE_O3,193,73,42,72,0,,COMPILED_UNVERIFIED
0.829634,0.326369,QAOA_8_INST_2,SABRE_O3,77,74,10,22,0,,COMPILED_UNVERIFIED
0.889845,0.24986,QAOA_9_INST_3,TKET,149,75,11,15,4,,COMPILED_UNVERIFIED
0.643648,0.486049,CrossEnt_9_INST_3,PROMETHEUS,986,76,72,1092,0,,COMPILED_UNVERIFIED
0.890177,0.24228,QAOA_9_INST_3,PROMETHEUS,266,77,11,98,0,,COMPILED_UNVERIFIED
0.6871,0.458125,CrossEnt_8_INST_1,PROMETHEUS,778,78,56,735,0,,COMPILED_UNVERIFIED
0.922769,0.192281,QAOA_9_INST_2,SABRE_O3,102,79,15,41,0,,COMPILED_UNVERIFIED
0.942774,0.175126,QAOA_7_INST_1,SABRE_O3,67,80,8,14,0,,COMPILED_UNVERIFIED
0.87763,0.267181,QAOA_8_INST_5,TKET,201,81,10,19,9,,COMPILED_UNVERIFIED
0.729395,0.409159,CrossEnt_6_INST_2,PROMETHEUS,419,82,30,240,0,,COMPILED_UNVERIFIED
0.920715,0.199273,QAOA_7_INST_4,PROMETHEUS,260,83,12,78,0,,COMPILED_UNVERIFIED
0.563378,0.543744,CrossEnt_7_INST_1,SABRE_O3,192,84,42,72,0,,COMPILED_UNVERIFIED
0.43872,0.638194,CrossEnt_8_INST_5,SABRE_O3,222,85,56,91,0,,COMPILED_UNVERIFIED
0.79347,0.384266,CrossEnt_6_INST_1,SABRE_O3,149,86,30,41,0,,COMPILED_UNVERIFIED
0.892587,0.257946,QAOA_6_INST_5,SABRE_O3,42,87,6,15,0,,COMPILED_UNVERIFIED
0.364256,0.668842,CrossEnt_9_INST_4,SABRE_O3,265,88,72,121,0,,COMPILED_UNVERIFIED
0.835362,0.316668,QAOA_9_INST_4,TKET,210,89,16,35,19,,COMPILED_UNVERIFIED
0.755165,0.403169,CrossEnt_7_INST_1,PROMETHEUS,577,90,42,420,0,,COMPILED_UNVERIFIED
0.979668,0.110179,QAOA_7_INST_2,SABRE_O3,50,91,7,14,0,,COMPILED_UNVERIFIED
0.758917,0.37922,QAOA_8_INST_2,TKET,180,92,10,20,10,,COMPILED_UNVERIFIED
0.824509,0.315805,CrossEnt_8_INST_1,TKET,320,93,56,58,52,,COMPILED_UNVERIFIED
0.882525,0.254322,QAOA_9_INST_4,SABRE_O3,90,94,16,36,0,,COMPILED_UNVERIFIED
0.633854,0.485767,CrossEnt_8_INST_3,PROMETHEUS,778,95,56,735,0,,COMPILED_UNVERIFIED
0.774763,0.381746,CrossEnt_6_INST_5,SABRE_O3,146,96,30,41,0,,COMPILED_UNVERIFIED
0.873241,0.265181,CrossEnt_7_INST_5,TKET,279,97,42,44,38,,COMPILED_UNVERIFIED
0.870269,0.266978,CrossEnt_7_INST_4,TKET,279,98,42,44,38,,COMPILED_UNVERIFIED
0.795819,0.350474,QAOA_9_INST_2,TKET,273,99,15,28,13,,COMPILED_UNVERIFIED
0.887658,0.243083,QAOA_8_INST_4,TKET,175,100,13,24,11,,COMPILED_UNVERIFIED
0.690714,0.459423,CrossEnt_8_INST_4,PROMETHEUS,778,101,56,735,0,,COMPILED_UNVERIFIED
0.881827,0.241667,QAOA_8_INST_1,SABRE_O3,87,102,12,27,0,,COMPILED_UNVERIFIED
0.513253,0.574922,CrossEnt_7_INST_4,SABRE_O3,190,103,42,72,0,,COMPILED_UNVERIFIED
0.961532,0.144653,QAOA_7_INST_3,PROMETHEUS,158,104,7,37,0,,COMPILED_UNVERIFIED
0.832364,0.304848,QAOA_9_INST_5,PROMETHEUS,359,105,13,175,0,,COMPILED_UNVERIFIED
0.842173,0.313258,CrossEnt_6_INST_1,PROMETHEUS,419,106,30,240,0,,COMPILED_UNVERIFIED
0.981709,0.096133,QAOA_7_INST_5,SABRE_O3,40,107,7,15,0,,COMPILED_UNVERIFIED
0.841396,0.313078,CrossEnt_6_INST_5,PROMETHEUS,419,108,30,240,0,,COMPILED_UNVERIFIED
0.574883,0.515479,CrossEnt_8_INST_3,SABRE_O3,226,109,56,91,0,,COMPILED_UNVERIFIED
0.808201,0.34402,QAOA_9_INST_1,TKET,279,110,17,36,19,,COMPILED_UNVERIFIED
0.681943,0.455125,QAOA_7_INST_4,SABRE_O3,99,111,12,27,0,,COMPILED_UNVERIFIED
0.818659,0.331285,CrossEnt_8_INST_3,TKET,320,112,56,58,52,,COMPILED_UNVERIFIED
0.80077,0.334544,CrossEnt_6_INST_3,SABRE_O3,146,113,30,41,0,,COMPILED_UNVERIFIED
0.785879,0.365026,CrossEnt_6_INST_4,PROMETHEUS,419,114,30,240,0,,COMPILED_UNVERIFIED
0.749563,0.386222,CrossEnt_6_INST_4,SABRE_O3,150,115,30,41,0,,COMPILED_UNVERIFIED
0.814248,0.330206,CrossEnt_6_INST_2,TKET,229,116,30,30,27,,COMPILED_UNVERIFIED
0.781095,0.371317,QAOA_6_INST_3,SABRE_O3,50,117,6,9,0,,COMPILED_UNVERIFIED
0.985036,0.092483,QAOA_6_INST_2,PROMETHEUS,101,118,6,18,0,,COMPILED_UNVERIFIED
0.772598,0.37584,CrossEnt_7_INST_5,PROMETHEUS,577,119,42,420,0,,COMPILED_UNVERIFIED
