experiment,benchmark,compiler,1q_gates,Algorithm,Backend,Circuit_Depth,Compiler,Entropy_Delta,Execution_ID,HOP,Hellinger_distance,Hellinger_fidelity,JSD,Job_ID,KL_Divergence,PROM_2Q_Gates,PROM_Depth,PROM_Entropy,PROM_HOP,PROM_KL_Div,PROM_XEB,Qubits,Renyi2_entropy,SABRE_2Q_Gates,SABRE_Depth,SABRE_Entropy,SABRE_HOP,SABRE_KL_Div,SABRE_XEB,Shannon_Entropy,Shannon_entropy,TVD,abstract_2q_operations,algorithmic_success,algorithmic_success_margin_95,bootstrap_uncertainty,compile_time_sec,depth,execution_index,final_native_2q_operations,gate_count,heavy_output_probability,logical_1q_gates,logical_abstract_2q_gates,logical_depth,logical_gate_count,min_entropy,native_2q_operations,one_qubit_depth,routing_induced_2q_overhead,routing_induced_swaps,scheduled_duration_dt,semantic_fidelity,status,total_2q_expansion,two_qubit_depth
03-micro-gradient-scaling,QFT_4_NONTRIVIAL,TKET,17.0,,,,,,,,0.078554,0.987697,0.008886,,,,,,,,,,3.929486,,,,,,,,3.96435,0.0975,16.0,,,"{'Hellinger_fidelity_std': 0.001138, 'TVD_std': 0.004818, 'JSD_std': 0.000823}",0.71198,126.0,11.0,24.0,33.0,"{'value': 0.1357, 'status': 'VALID'}",6.0,8.0,10.0,14.0,3.470729,,11.0,8.0,,,,COMPILED_UNVERIFIED,3.0,22.0
03-micro-gradient-scaling,CrossEnt_8,SABRE_O3,103.0,,,,,,,,0.073586,0.989199,0.007793,,,,,,,,,,7.938524,,,,,,,,7.968849,0.083575,28.0,,,"{'Hellinger_fidelity_std': 0.001134, 'TVD_std': 0.003697, 'JSD_std': 0.000817}",0.008117,46.0,12.0,28.0,131.0,"{'value': 0, 'status': 'VALID'}",16.0,13.0,11.0,29.0,7.287712,,32.0,15.0,,,,COMPILED_UNVERIFIED,2.153846,15.0
03-micro-gradient-scaling,CrossEnt_3,PROMETHEUS,54.0,,,,,,,,0.031393,0.99803,0.001421,,,,,,,,,,2.988788,,,,,,,,2.994337,0.0356,6.0,,,"{'Hellinger_fidelity_std': 0.000457, 'TVD_std': 0.004749, 'JSD_std': 0.00033}",0.860211,29.0,13.0,6.0,60.0,"{'value': 0, 'status': 'VALID'}",6.0,3.0,6.0,9.0,2.803897,,25.0,3.0,,,,COMPILED_UNVERIFIED,2.0,6.0
03-micro-gradient-scaling,QAOA_8_MAXCUT,TKET,32.0,,,,,,,,0.301275,0.826706,0.126724,,,,,,,,,,7.616396,,,,,,,,7.817766,0.357814,44.0,,,"{'Hellinger_fidelity_std': 0.0037, 'TVD_std': 0.004276, 'JSD_std': 0.002744}",0.824888,255.0,14.0,84.0,76.0,"{'value': 0.533, 'status': 'VALID'}",16.0,12.0,11.0,28.0,5.993092,,16.0,32.0,,,,COMPILED_UNVERIFIED,7.0,54.0
03-micro-gradient-scaling,QFT_6_NONTRIVIAL,SABRE_O3,167.0,,,,,,,,0.083083,0.986242,0.009926,,,,,,,,,,5.919187,,,,,,,,5.959863,0.0925,46.0,,,"{'Hellinger_fidelity_std': 0.001163, 'TVD_std': 0.004329, 'JSD_std': 0.00084}",0.010856,111.0,15.0,46.0,213.0,"{'value': 0.5338, 'status': 'VALID'}",9.0,18.0,14.0,27.0,5.184425,,74.0,28.0,,,,COMPILED_UNVERIFIED,2.555556,37.0
03-micro-gradient-scaling,CrossEnt_7,TKET,18.0,,,,,,,,0.193449,0.926556,0.053104,,,,,,,,,,6.657744,,,,,,,,6.79709,0.228512,22.0,,,"{'Hellinger_fidelity_std': 0.002615, 'TVD_std': 0.004169, 'JSD_std': 0.001879}",0.785638,99.0,16.0,26.0,40.0,"{'value': 0, 'status': 'VALID'}",14.0,11.0,10.0,25.0,5.904008,,6.0,11.0,,,,COMPILED_UNVERIFIED,2.363636,18.0
03-micro-gradient-scaling,QFT_3_NONTRIVIAL,SABRE_O3,33.0,,,,,,,,0.040492,0.996724,0.002364,,,,,,,,,,2.982345,,,,,,,,2.990745,0.0465,9.0,,,"{'Hellinger_fidelity_std': 0.000588, 'TVD_std': 0.004067, 'JSD_std': 0.000424}",0.009041,33.0,17.0,9.0,42.0,"{'value': 0, 'status': 'VALID'}",4.0,4.0,8.0,8.0,2.845806,,23.0,5.0,,,,COMPILED_UNVERIFIED,2.25,9.0
03-micro-gradient-scaling,QFT_3_NONTRIVIAL,TKET,10.0,,,,,,,,0.045661,0.995834,0.003006,,,,,,,,,,2.976561,,,,,,,,2.988055,0.0549,7.0,,,"{'Hellinger_fidelity_std': 0.000657, 'TVD_std': 0.004652, 'JSD_std': 0.000474}",0.567597,75.0,18.0,9.0,17.0,"{'value': 0, 'status': 'VALID'}",4.0,4.0,8.0,8.0,2.784881,,7.0,3.0,,,,COMPILED_UNVERIFIED,2.25,9.0
03-micro-gradient-scaling,QFT_5_NONTRIVIAL,SABRE_O3,109.0,,,,,,,,0.051479,0.994707,0.003818,,,,,,,,,,4.970771,,,,,,,,4.984919,0.05955,31.0,,,"{'Hellinger_fidelity_std': 0.000785, 'TVD_std': 0.004706, 'JSD_std': 0.000566}",0.010735,86.0,19.0,31.0,140.0,"{'value': 0.1198, 'status': 'VALID'}",7.0,12.0,12.0,19.0,4.714065,,57.0,19.0,,,,COMPILED_UNVERIFIED,2.583333,28.0
03-micro-gradient-scaling,QFT_7_NONTRIVIAL,SABRE_O3,241.0,,,,,,,,0.083976,0.985946,0.010142,,,,,,,,,,6.920285,,,,,,,,6.959454,0.095387,65.0,,,"{'Hellinger_fidelity_std': 0.001234, 'TVD_std': 0.004343, 'JSD_std': 0.00089}",0.007525,134.0,20.0,65.0,306.0,"{'value': 0.3738, 'status': 'VALID'}",10.0,24.0,16.0,34.0,6.333516,,87.0,41.0,,,,COMPILED_UNVERIFIED,2.708333,47.0
